Ticker,Description,Last,Change %,Change,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Yearly Performance,Country,Current Ratio (MRQ),Debt to Equity Ratio (MRQ),Dividends Paid (FY),Dividends per Share (FY),Dividends Yield (FY),EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Gap %,Goodwill,Gross Margin (TTM),Gross Profit (FY),Gross Profit (MRQ),Industry,Last Year Revenue (FY),Money Flow (14),Net Debt (MRQ),Net Income (FY),Net Margin (TTM),Operating Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Quick Ratio (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue per Employee (TTM),Shares Float,Total Assets (MRQ),Total Current Assets (MRQ),Total Debt (MRQ),Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding (MRQ)
AMZN,"Amazon.com, Inc.",2959.3751,-3.64296413,-111.8849,6712181,19863861318,1.51E+12,46.91436303,65.907,1608000,Retail Trade,-0.6110654,United States,1.13575977,0.95712684,0,0,,59237000000,35.0454,1.76E+12,-0.54082038,15371000000,42.03251444,1.97E+11,54577000000,Internet Retail,4.70E+11,33.41705273,36009000000,33364000000,7.10141288,5.30860624,11.19674811,12.2766,,3.3399496,3.33347683,0.9063304,8.99609569,28.80564993,15.43082975,292177.8607,440812574.9,4.21E+11,1.62E+11,1.32E+11,2.82E+11,2.82E+11,4.70E+11,508844000
AAPL,Apple Inc.,166.7983,1.01641231,1.6783,217783589,36325932413,2.72E+12,27.65261568,6.0772,154000,Electronic Technology,38.84816449,United States,1.03781154,1.70714008,-14467000000,0.85,0.52833813,1.29E+11,21.1317,2.97E+12,-0.25738857,0,43.20921475,1.53E+11,54243000000,Telecommunications Equipment,3.66E+11,53.46538468,58885000000,94680000000,26.55289057,31.1024381,43.36732037,40.0457,31.5699,7.26557937,7.6787599,0.99799423,27.35278717,145.5673297,58.45099487,2375435.065,16303553863,3.81E+11,1.53E+11,1.23E+11,2.88E+11,3.09E+11,3.66E+11,16319400000
GOOG,Alphabet Inc.,2692.865,-0.18366681,-4.955,3081177,8297193702,1.78E+12,24.01326194,113.9184,156500,Technology Services,31.41760489,United States,2.92811342,0.11329108,0,0,,91006000000,20.1766,1.83E+12,-0.30469045,22956000000,56.91488535,1.47E+11,42134000000,Internet Software/Services,2.57E+11,74.67021043,-1.11E+11,76033000000,29.52875474,30.51210153,7.09136628,7.61383,29.2621,7.03873116,7.09295874,2.90990444,22.39940844,32.06932403,28.93943056,1645290.735,276076807.7,3.59E+11,1.88E+11,28508000000,1.08E+11,1.08E+11,2.57E+11,661059000
WMT,Walmart Inc.,139.6684,3.33560225,4.5084,22745058,3176765859,3.87E+11,27.92567374,4.8988,,Retail Trade,9.51807418,United States,0.9277973,0.62381517,-6152000000,2.2,1.6451234,37700000000,11.7179,4.40E+11,0.52530334,29014000000,26.48711314,1.44E+11,37349000000,Food Retail,5.73E+11,35.47404461,42563000000,13673000000,2.3872378,4.72139872,,,79.6602,0.66136093,0.66682869,0.28106296,5.49827488,16.65631205,9.97141232,,1453868177,2.45E+11,81070000000,57323000000,1.53E+11,1.53E+11,5.73E+11,2773880000
MSFT,Microsoft Corporation,295.49,-1.10445463,-3.3,80840977,23887700294,2.22E+12,31.9378245,9.4664,181000,Technology Services,30.32682045,United States,2.24729712,0.50217486,-16521000000,2.24,0.82614344,91616000000,24.7644,2.50E+12,-0.7998929,50921000000,68.82581678,1.16E+11,34768000000,Packaged Software,1.68E+11,47.32006176,-45016000000,61271000000,38.49856411,42.52391795,15.89661876,15.764,52.0496,12.26554166,13.58720147,2.20834731,22.08910114,49.05149425,32.55205654,928662.9834,,3.40E+11,1.74E+11,80353000000,1.92E+11,1.80E+11,1.68E+11,7496870000
FB,"Meta Platforms, Inc.",203.77,-3.44026916,-7.26,75650149,15415230862,5.55E+11,15.08218344,13.9904,71970,Technology Services,-20.90902034,United States,3.15429383,0.11574404,0,0,,54720000000,16.7043,9.08E+11,-0.54968488,19197000000,80.79437628,95280000000,27323000000,Internet Software/Services,1.18E+11,47.05003928,-33693000000,39370000000,33.38449406,39.64504066,4.56785774,7.38263,24.5839,4.93941176,5.04529412,3.15429383,24.20512568,31.10175416,28.47821998,1638585.522,2295474901,1.66E+11,66666000000,14454000000,41108000000,41108000000,1.18E+11,2721941942
FNMA,Fannie Mae,0.812,-1.09622412,-0.009,2594514,2106745.368,940367187.8,49.13173653,0.0168,7400,Finance,-55.86956522,United States,,87.80520303,0,0,,92907000000,45.1458,4.19E+12,1.09622412,0,96.93903995,97257000000,25368000000,Finance/Rental/Leasing,1.00E+11,35.39233295,4.05E+12,22176000000,22.10350052,97.71648991,,,21.1967,0.00947104,0.04819399,,0.53982749,61.0774485,0.54409117,13557837.84,1158045993,4.23E+12,,4.16E+12,4.18E+12,4.18E+12,1.00E+11,1158090000
XOM,Exxon Mobil Corporation,80.7744,3.00229533,2.3544,106383248,8593043027,3.42E+11,14.94257139,5.3893,63000,Energy Minerals,37.58201329,United States,1.04433028,0.3018448,-14924000000,3.49,4.371042,48396000000,6.39991,3.15E+11,0.44631472,0,24.09967559,67602000000,19369000000,Integrated Oil,2.81E+11,69.9790064,46227000000,23040000000,8.21361092,9.9065987,2.02498937,1.53867,12.3805,1.22728512,1.22728512,0.71278004,6.86048122,14.1468162,10.85716978,4452539.683,4226689248,3.39E+11,59154000000,53029000000,1.63E+11,1.63E+11,2.81E+11,4233590000
FMCC,Freddie Mac,0.8151,-0.71863581,-0.0059,1495204,1218740.78,529863539.2,5.55555556,0.1512,7318,Finance,-54.46368715,United States,,106.3098848,0,0,,58647000000,52.1677,3.06E+12,1.09622412,0,100,62238000000,17039000000,Finance/Rental/Leasing,62238000000,41.34664387,2.97E+12,12109000000,19.45595938,94.40213374,,,0.164142,0.04364793,0.04364793,,0.42840962,54.4885929,0.43871798,8504782.728,650050899.2,3.03E+12,,2.98E+12,3.00E+12,3.00E+12,62238000000,650060000
CMCSA,Comcast Corporation,47.11,0.74850299,0.35,62411025,2940183388,2.14E+11,15.25055899,3.0914,189000,Consumer Services,-12.64602262,United States,0.84527055,1.09437909,-4532000000,1,2.32859,34620000000,9.45686,3.33E+11,-1.32591959,70189000000,55.10246166,64131000000,16875000000,Cable/Satellite TV,1.16E+11,35.10999926,98492000000,14159000000,12.16565709,17.88546634,2.18801967,2.37436,15.1707,1.83830339,1.85464209,0.84527055,5.1508438,15.19083765,7.0742297,615793.6508,4490920142,2.76E+11,24807000000,1.07E+11,1.78E+11,1.78E+11,1.16E+11,4533234375
